comment_normalized	hate	spam	obscene	class
نظرت درمورد علی کریمی و اون مداح اخوند جیه	1	0	0	hate
کش	0	0	0	clean
ماه رمضونمونو باطل نکن بابا	1	0	0	hate
گفتن این حرف حتی اگه دروغ هم باشه شجاعت میخواد افرین 👏	0	0	0	clean
بر وزن عسلویه 😂	0	0	0	clean
چه رویی داری عسیسم	1	0	0	hate
یه گشت اختلاسم درست کنن بد نیست	0	0	0	clean
وضعیت فعلی مردم	0	0	0	clean
گندست 😮	0	0	1	obscene
اقا تو راست میگی ولی من میهن نمیخرم	0	0	0	clean
با سلام از لوس انجلس عاشقترین	0	1	0	spam
حرام‌ زادها	1	0	1	hateobscene
مارمولک شاهکار بود	0	0	0	clean
یه شوگر مامی از مشهد بیاد دایرکت 😍	0	1	1	spamobscene
جمع با شرفا 	0	0	0	clean
تو فحش میخوری اما جوونامون گلوله تو از فحش ناراحت میشی اما خانواده های داغدار همشون نابود میشن باغیرت 😏	0	0	0	clean
پپستتون بسیار عالی وکاربردی بودلطفا پپیج منم دیدن کنید 🍆	0	1	1	spamobscene
🍑 پسرها بیایید توپیجم اموزش دختربازی 💜	0	1	1	spamobscene
تیرگی بکینی و زیر بغلت کلافت کرده؟ 👅 👅 لک ها و جوش های صورتت اعتماد بیا نفستو پایین اورده؟ 👅 👅 ترک های پوستی داری رو بدنت؟؟ 👅 👅 به تو پیجم تا کمکت کنم 👅 👅 🙌	0	1	1	spamobscene
سوتین نو مبارک 😂	0	0	1	obscene
اقا این سوتین یخورده برات گشاده 😂 یه سایز کوچیکتر ببند قشنگه	0	0	1	obscene
جیگ جفتتونو بخورم که اینقدر دوست داشتنی هستید بیایید تو بغلم	0	0	1	obscene
این دیگه از سکسی گذشته عزیزم هزار تا لایک خورده 😂 😂	0	0	1	obscene
ببین چقدر سکسی که هزار تا لایک خوردی 🔥 😂	0	0	1	obscene
خوشحالم که از اول شناخته بودمت و همیشه دوس داشتم ببازی خایمال	0	0	1	obscene
ما یه زوج پایه عشقو حالیم اگه زوجی پایه بود دایرکت بده 😍 🔥 💦 💦 🔥 🔥 😍	0	1	1	spamobscene
الان میگن اینم اخوند ما نیست کار دشمنه 🤣 🤣 👍	1	0	0	hate
خدا مادرتو بیامرزه خوشتیپ مشتی ❤️ 🖤	0	0	1	obscene
فعلا که خیلی شوخیشون گرفته 😐	0	0	0	clean
خودتو برای ساخت قلاده های طلای اماده کن	1	0	0	hate
باورم نمیشه یه کیر کلفت از شیراز پیدا نمیشه دایرکت کیرشو فقط بخورم بابا کیر کوچچیکا نیان من 🙌	0	1	1	spamobscene
اخه مارتین اینجوری مشت نمیزنه که	0	0	0	clean
اینا روضه های ماست 😭	0	0	0	clean
خستهه نباشیی مینداختی هممونو کشتن میومدی	0	0	0	clean
😂 قیافش خداست 😂	0	0	0	clean
دوستان لطفان مسخره نکنید یه اشتباهی کرده حمایتش کنید طبق خبری که بهم رسیده داره تمرین می کنه ❤️	0	0	0	clean
انگار داریم تبدیل میشیم به کشوری زیر سلطه طالبان 😒 😒	1	0	0	hate
😂 😂 دهنت سرویش 😂 😂	0	0	0	clean
من خیلی وقته بی بی سی نگاه نمیکنم‌	0	0	0	clean
چه عجب اقای جوان طرف مردم ایستادین	0	0	0	clean
النگوهایش نشکنه 🤣 🤣	1	0	0	hate
با احترام انفالو	1	0	0	hate
برای کیسه بوکس حرف نداری	1	0	0	hate
سر پیری	1	0	0	hate
مماشات یعنی چه 😂	0	0	0	clean
شما خیلی زود واکنش نشون دادید 🤐 🤐	0	0	0	clean
این مگه موهاشو نزد چجوریاس 😮	0	0	0	clean
این ظلم بی‌پایان	0	0	0	clean
غیرت وجدان	0	0	0	clean
کتت و ببند	1	0	0	hate
خدا نگهدار تو و امثال شما باشه…عشق	0	0	0	clean
مثل پدرتون کنار مردم باشید وسط وانستین 	0	0	0	clean
هیچ فایده نداره هیچ	0	0	0	clean
بلوچستان خونین زاهدان خونین 😢 😢	0	0	0	clean
اونا باید داد بز بچرونه	0	0	0	clean
جون باوا	0	0	0	clean
زایش لیاقت را دید	0	0	0	clean
چقدر میخواید بچه و جوان رعنا بکشید تاکی میخواید ادامه بدیدهممون روبه صف کنید بکشید مرگ با عزت به از زندگی باذلت	1	0	0	hate
💔 💔 😭 😭	0	0	0	clean
چقدر حرفاتون حقه 😭 😭	0	0	0	clean
سلام خسته نباشین چ اوضاع بسته های اینترنت هست واقعا براتون متاسفم	1	0	0	hate
ارزش خودت خیلی از مدالات بالاتره	0	0	0	clean
البته که نه اوباش	0	0	0	clean
قیافه روو 😂 😂	1	0	0	hate
😂 😂 توی بی بی کی بودی 😂 😂 وای عکستم کمدیه	1	0	0	hate
خدایش اصلا ب این پسر میخوره قیافه بگیره چهرش داد میزنه خجالتی هستش	0	0	0	clean
 چی میگی	0	0	0	clean
بیا هزارتا خورد	0	0	0	clean
ریشه ستم برچیده خواهد شد	0	0	0	clean
پارهه 😂 😂	1	0	1	hateobscene
این راه بی پایان است	0	0	0	clean
داور درست قضاوت نکرد و گر نه از نظر من سجاد باید میبرد چون فقط سجاد میزد	1	0	0	hate
افرین سجاد همینو برو رو مشت بیشتر کار کن اون قدش بلند مارتین تو رینگ بچسب بهش	0	0	0	clean
خسته نباشید بعد از روز تازه یادتون افتاد چه خبره در سطح شهر مردم امیدشون به شماهاست دولت از هنرمندان و فوتبالیستها میترسه یکو خفه کنن اون یکی خفه کنن اخرش مجبورن گورشونا گم کنن یکمی از علی کریمی و کتایون ریاحی و …… یاد بگیرید مهسا امینی 	0	0	0	clean
بپا عمامه اتو باد نبره	0	0	0	clean
خونه ها تون حموم ندارید	1	0	0	hate
بسیجی واقعی فقط خودتی بقیه اداتو در میارن	1	0	0	hate
😮 😮 قطعا تو قویتر خواهی بود	0	0	0	clean
دمت گرم واسه ما همیشه قهرمانی ❤️ ❤️ دیگ شب اربعین نمیشد نصف ملت عزادار باشن نصف ملت بزن و برقص کنن ک 😂 هح سال بعد جرش میدی 💪 ❤️	0	0	1	obscene
پلاستیک فروشی بهارستان مشهد 🔥	0	1	0	spam
بازم دمت گرم که خایه کردی جلوی اون غول به ایستی	0	0	1	obscene
 تا اهنگ درباره مردم بی گناه بخون	0	0	0	clean
واقعا می خوای به بچت چی بگی	1	0	0	hate
از همون اول وی علاقه شدیدی به جندگی داشت 😂 هرکی موافقه لایک کنه ❤️ ❤️ 😂	0	0	1	obscene
جیگرتو بخورم ❤️ ❤️	0	0	1	obscene
جیگرتو بخورم الهی ❤️	0	0	1	obscene
کف خیابان پلیس را اتش میزنند مأمورین حافظ امنیت را زیر میگیرند روسری از سر ناموس ایرانی میکشند پرچم ایران را پایین می‌اوردن و اتش میزنند و در مجازی دم از ازادی میزنند به بهانه مهسا	0	0	0	clean
تولدت مبارک سکسی من ❤️ 🔥 😢	0	0	1	obscene
باید بانک‌ها و مراکز دولتی نورانی شوند	0	0	0	clean
اینا هروقت میخان سوار موتور بشن همو انگشت میکنن دیگه دستاشون هرز شده 👏 👏 افرین به غیرتتون	0	0	1	obscene
اون سگ با گربه کاری نداره؟	0	0	0	clean
فعلا فوش نوش جان کن تا بعدا به حسابت رسیدگی بشه	0	0	0	clean
بوس رو پاهای خوشگلت 💋 👅 😋	0	0	1	obscene
از دست تامین اجتماعی 😮	0	0	0	clean
اخرین ماه هست دیگه صبر‌نداریم شهریور خونین	0	0	0	clean
نکشیمون ببر کورد با شجاعتت	0	0	0	clean
نمیری شیرکر	0	0	0	clean
چوپان 😂 😂	0	0	0	clean
ی پستی استوری چیززی	0	0	0	clean
پاندا کونگ فو کار 😂	0	0	0	clean
الکیه محسن جرعت نداره 🤫 پایتخت ازش میگیرن☻	0	0	0	clean
داریم فعلا پایان شماهارو ترند میکنیم	1	0	0	hate
تو دیگه از ما نیستی	1	0	0	hate
چیکار کرده همه دارن فحش میدن	0	0	0	clean
دایی مجبوره بگه وگرنه گرین کارتش باطل میشه	0	0	0	clean
کله گنده	0	0	0	clean
مگه با نصیحت درست میشن 😮	0	0	0	clean
 لطفأ خفه شید؛ نزارید حرفی بزنم که تا انتهای واژنتون فلفلی بشه خودتون احترام خودتون رو نگه دارید و گم شید برید بیرون ما چارتا اقا مشکلمون رو بین خودمون حل میکنم نیازی به نظر شما نیست	1	0	1	hateobscene
ایران خیلی ظلم کرده بهت	0	0	0	clean
لطفا حامی زندانیان محکوم به اعدام شوید	0	0	0	clean
مملکت خیلی وقته افتاده دست سپاه	0	0	0	clean
 امیدوارم که این اتفاق برات بیوفته	0	0	0	clean
بح بح بح	0	0	0	clean
فقط جنگ اینستاگرامی درست کردن 😑 😑	0	0	0	clean
مجوزت باطل نمیشه نترس یه استوری واس مهسا بزار 😂	1	0	0	hate
اگه دنبال اهنگ های خفن و پر انرژی برای سیستم ماشینت یا ورزش کردنی به کانال ماهم یه سری بزن	0	1	1	spamobscene
چقد گلش شبیه گل سر مسیح علینژاده 😮 😮	0	0	0	clean
تحریم شدم 😂 😂	0	0	0	clean
معلوم نیس چطور ترسوندن بی سروصدا خاک شد 😢	0	0	0	clean
جوانهای ایرانم کلا از نظام تا جان امام زمانتون رو قهوه ای کردن ببین خودت جان سالم بدر میبری بیشرف نه به جمهوری اسلامی توماج صالحی را ازاد کنید حسین رونقی را ازاد کنید نه میبخشیم نه فراموش میکنیم زن زندگی ازادی مهسا امینی نیکا شاکرمی	0	0	0	clean
سلام بهنوش بختیاری دوست دارم بخورمت	0	0	1	obscene
عکس از این سکسی تر ماشالله بچه خوشگل بودی اقا عطاران 😂 😂	0	0	1	obscene
معرفی میکنم هند جگر خوار کپی برابر اصل	1	0	0	hate
پسرم پدرت یکی از بهترین خایه مالاس ❤️ 🔥	0	0	1	obscene
ی شوگرباشه خوشگل شمالی پپایین سال 🍑 💜	0	1	1	spamobscene
شبیه تخمه افتاب گردونه که رنگ شده	1	0	0	hate
احسنت به این جنسی که خریدی	0	0	1	obscene
امام زمانتونم تقلبی شدکه	1	0	0	hate
خداپدر مادرتو بیامورزه شیرمادرت حلالت ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ 👏 👏	0	0	1	obscene
چه عجب جناب محمدزاده	0	0	0	clean
کرونا گرفتی صدات در نمیاد	1	0	0	hate
 بخورن نوش جونشون	0	0	0	clean
ابرو ها رو	0	0	0	clean
هالک ایرانی	0	0	0	clean
حالا سگ چیزی نیست اولی مشکل داره	0	0	0	clean
طرفداری جمهوری اسلامی 😂 😂	0	0	0	clean
فش نمیدم بت ولی رفتی کف استانبول شاخ شدی 🔥	0	0	0	clean
وای پشمام اینا چی میکشن؟	0	0	0	clean
سجاد از الان وقت داری باد معدتو اماده کنی رژیم غذاییتو به تخم مرغ اب پز و لوبیا تغییر بده ضمنا روغن بنفشه هم استفاده کن از تکنیک راسو استفاده کن تا گیجشکنی 🤢 🤢 😷 😷	0	0	0	clean
کسانی که وطن پرست هستن و از ردوغ و دو رویی بیزارن و بامردم همدرد ن و شرافت وانسانیت رو به تمام دنیا ترجیح میدن انفالوش کنن مدیری مردمی نیست	0	0	0	clean
رئیسی برگشته به شغل اصلیش 😐 😐 😏 😏	0	0	0	clean
مهناز افشار با مردم نیست 😮	0	0	0	clean
سجاد پشتتم برو جرش بده ❤️	0	0	1	obscene
حالمون خیلی خراب کاش یکی درک کنه 🖤 😭	0	0	0	clean
چون تمام تصمیمات غلط مملکت از همینجاست	0	0	0	clean
چرا مرده مثل دختراس بدنش	1	0	0	hate
عجب دفاع جانانه ای از مردم خسته نباشید اقای مدیری 👎 👎	1	0	0	hate
ریدن تو دین و مملکت و همه تون 👏 🔥 ❤️	1	0	0	hate
پس چرا انفالو کردی رضارو	0	0	0	clean
لپ روحانی رو بکش	0	0	0	clean
چ پستی بلندی هایی 😢	0	0	0	clean
حداقل یه لگد میزدی 🤪 🤪	0	0	0	clean
واکنش ب حرفهای رائفی پوره 😂 😂	0	0	0	clean
خیلی این بازیکنان لیاقت دارن که بدرقه بشن	0	0	0	clean
بابا زشته نکن ابروی اون چند رزمی کار معروف ایرانی رو نبر خواهش میکنم برو سخت تمرین کن بعد بیا برای اسم ایران مبارزه کن ما پهلوانان بزرگی در کشورمان رشد کرده اند بقران ابرومون رو نبر	1	0	0	hate
کوکتو بیرون کن بیشتر فالوت میکنن	0	0	0	clean
چه عجب حرفی زدی	0	0	0	clean
ببین با مردم رفتی بالا حالا باید منتظر پایین امدنت باشی متاسفم برای امثال شما 😢 زن زندگی ازادی مهسا امینی	0	0	0	clean
کی با بیکینی میدی بیرون؟	0	0	1	obscene
دوستان علاقه مند به حیوانات خونگی اکواریوم مخصوصا ماهی دیسکس به پیج من بزنید 👅 👅 💦	0	1	1	spamobscene
از پیجم دیدن کنید ❤ 👙 👙 💦 💦 ده دقیقه دیگه قفل میشه	0	1	1	spamobscene
توییتر مگه حرام نیس ؟	0	0	0	clean
واایی کپشن فقط بود سکسی اگه هزار تا لایک ممیخورد 🔥 🔥 💜	0	1	1	spamobscene
تو ثابت شده قهرمان 💙 ایشالله انتقام بگیری ازش	0	0	0	clean
برو سلطان کارت درسته همینا یادشون رفته حسن یزدانی چند دوره باختهولی تو موفق میشی یجوری تلافی کن ک دیگه اون حرومزاده بفهمه ک دیگه گوه نخورهحتی هم باختی باعث افتخاری 🌹 🌹 👑 👑	0	0	1	obscene
بی حال بود	0	0	0	clean
احسنت درود برشرفتون 👌 👌 ❤ 🌊 🧿 🤴 🧿 🌊 ❤ 😍 😍 💫 💦 💫 💦 💫 💦 💫 💦	0	0	1	obscene
نام هر مه ناز وهرناز ره به رازی دراسمانها جایگه و عرش دیگر سر واسرار ی که درعمق وجودیت زهرقلبی که هردم میتپد نه بعدی درزمان یادرمکانی ناکه گنجد اوهمه درقعروبستری تابیکرانها سراسر دمبدم درقدمها روان ها پرکشیدن تااسمانها کهکشانها درافق تا بیکران ها دوردستها برفروزد پرچم زیبای عشقی گرم و سوزان تاببیند دیده ها زان بی نشان ناپیدا انجمن ها از حیات دیگری از نوع و جنسی از راز هستی تا بیاموزند وبرگیرند اگر بیند دیده هاشان پس بیاییم شعله افشانیم و دل در کاسه اندازیم ❤️ 🔥	0	0	1	obscene
هنرمندی به گند وبیتربیتی تو تا حالا نبوده	0	0	0	clean
شبی اقای احمدی نژاد شدی	0	0	0	clean
مگه این امام زمان میبینه 😮 😮	0	0	0	clean
اقای علیخانی شما تنها کسی هستی که منطقی حرف زدی واقعا برای اونایی که دارن توهین می کنن به شما متاسفم همین	0	0	0	clean
تنها اخوندی که نباید گم بشه خودتی حاج حسن 👏	0	0	0	clean
چقدر عجیبه ک تو سکوت کردی	0	0	0	clean
چقد قیافش مهربونه ولی	0	0	0	clean
ولی من یه کورد میشناسم که ترسیده	0	0	0	clean
شما خایه هات اومده دهنت شما اگه مردمی بودی اصلا به اشتباه گردن میگرفتی تا دلگرمی بشه به مردم مردم ما کس خلن با این اوضاع داری در میری ولی بازم میگن دمت گرم	0	0	1	obscene
سجاد اب قطع نرو میمونی برادر	0	0	0	clean
واقعا ازین همه کامنت نارضایتی خودتون حالتون نمیگیره	0	0	0	clean
چیزی نیست بنده خدا ترسیده	0	0	0	clean
کفر پایدار میماند ولی ظلم نمیماند انشالله	0	0	0	clean
نه متأسفانه حدودا مرتبه ثبت نام داشتم	0	0	0	clean
ندا جان خیلی ها دوست دارند دوباره به گذشته برگردند یکی شون من دوست دارم دوباره مادر بزرگم ببینم اخه شش ساله که فوت کرده دوست دارم دوباره تمام خانواده توی خانه مادر بزرگم غذا بخورم دلم برای پسر خاله هام و دختر خاله هام تنگ شده حتی بعضی وقتی دلم برای مدرسه راهنمایی و بابا مدرسه هم تنگ می شه دلم می خواد دوباره توی حیات مدرسه بدوم ندا هر کسی خاطراتی داره که دوست داره دوباره تجربش کنه	0	0	1	obscene
دیروز براتون نذری اوردم خونه نبودید ک 	0	0	0	clean
ورشکست نشه همراه اول	0	0	0	clean
مثلا تا چی بشه؟ 😮 😮	0	0	0	clean
من هم دیگه سراغ تپسی نخواهم رفت	0	0	0	clean
دروذ بر سلطان فتوشاپ 😂	0	0	0	clean
اینا فیلم بازی میکنن وگرن این که ما دیدیم مبارزه نبود	0	0	0	clean
هزار تا لایک خورده خیلی سکسیه پاکش کن 😂 😂	0	0	1	obscene
چقد سفید و خوشگل لاشو بخورم	0	0	1	obscene
جیگرتو بخورم من زیبای خوشگل خوش استایل	0	0	1	obscene
انگشت صمد	0	0	0	clean
حلال زاده راهش از حرامزاده جداست دمت گرم با غیرت	0	0	1	obscene
نفسات حق تو پسر هزاربار احست به تو مرد طلایی خستگی ناپذیر ی جهان حریفت نمیشه پهلون با اخلاق خدا پدر مادرتو برات حفظ کنه بهترینهای دنیارو برات ارزو میکنیم حسن روس کش	0	0	1	obscene
بمیرم برای جوونی و ارزوهات	0	0	0	clean
همایون جان من تو را بعنوان یک خواننده‌ی خوشصدا و کاربلد دوست دارم اما این متن بوی ترس میده عزیزم ما با همین مشکل داریم میخواهیم این ترس لعنتی که بجان مردم ما افتاده تا حدی که حتی جرات نمیکنن یک پست دادخواه را لایک کنند نابود بشه ما میخواهیم هر کسی با شجاعت و بدون ترس زندگی کنه و هر حرفی که در جهت دادخواهی و خونخواهی میزنه با کشتار و باتوم و مشت سرکوب نشه	0	0	0	clean
علی اقا بگو دهنت عادت کنه 👊🏻	0	0	0	clean
بهنوش مراقب باش کرونا نگیری 😮	0	0	0	clean
اره داریم میبینیم 😂 ابان فقط نفر توی خیابون بودن اونم همه بسیجی 😂	0	0	0	clean
کار دشمن هست مگه نه	0	0	0	clean
پیر شدی اقا جوان	0	0	0	clean
قانون زور و ترس و دلهره قانون بی قانونی 🖤 😔	0	0	0	clean
صدای اعدامی بی گناه باشید اونا چشم انتظارن	0	0	0	clean
در این روزهای سخت صدای مردم ستم دیده باشید ✌	0	0	0	clean
لیاقت بیشترازایناس خداییش کمه 😂 😂	0	0	0	clean
بچه ها اوضاع شهرتون چطوره؟خیلی ناراحتم 😢	0	0	0	clean
چقدر فحش دادین 😢	0	0	0	clean
نوش جونشون	0	0	0	clean
نشکنی	1	0	0	hate
عه توهم هستی؟	0	0	0	clean
صورت سحر چه گندس 😮	0	0	0	clean
کلاغ در اینستا بسیار هستش …	0	0	0	clean
اخه کارگراش گناه داره اونا بیکار میشن	0	0	0	clean
😂 😂 دیگه نکش	0	0	0	clean
سلام ی شوگر مامی عشقی بیاد دایرکت ساکن همدان کرمانشاه سالمه مجردم ازدواج هم میکنم 🔥 🔥 کمر شناژه	0	1	1	spamobscene
رینگ پیستون چسباند 😂	0	0	0	clean
از بوسیدن دست اخوندها در خیابان معلومه	0	0	0	clean
ممه هات تا به تا افتادن چرا 😁 خیلی خوشکلی 😍 ❤️	0	0	1	obscene
چرا یه ترک با هم نمی خونین	0	0	0	clean
چرا اینقدر سکوت کردی	0	0	0	clean
من دیگه حرفی ندارم 🤐 🤐	0	0	0	clean
بگم بیش از ده بار این فیلمو دیدم دروغ نگفتم 😂 😂 😍 ❤️ 🔥	0	0	0	clean
 مگه قبلی هاشم الکی بوده 🤓 🤓 🧐 🧐 😂	0	0	0	clean
تو جونتو واسه کی میدی 😂 😂	0	0	0	clean
بقول هوتن چشات سگ داره 😂	0	0	0	clean
چه عجب بیدار شدید	0	0	0	clean
از همون کودکی خداوکیلی کردنی بودی 	0	0	1	obscene
مواطب عمامه ات باش	0	0	0	clean
خیلی مردی 😂 😂 ابرو هرچی کرد بردی که تو	0	0	0	clean
جوری سرطان بگیری که ارزوت فقط مرگ باشه	0	0	0	clean
معترض بود خونه‌اش نبود اسنپ فود	0	0	0	clean
فک میکنی هنرمندی تا کلمه چرت پرت کنارهم میزاری میخونی	0	0	0	clean
چه عجب اق نوید	0	0	0	clean
تاخون دررگ ماست خامنه ای رهبرماست ❤	0	0	0	clean
الناز دوست دارم بکنمش از بس نازه بهنوش بختیاری هم محرکه ای بخورمت	0	0	1	obscene
خدا پدر مادرتو برات حفظ کنه شیرین بانو ی دوست داشتنی و شمارو هم برای ما نگهدار انشاا	0	0	1	obscene
چرا اینور لباست یقه داره ولی اونطرف نداره 🧐	0	0	0	clean
به تو میگفت مریضی شو؟	0	0	0	clean
لامصب شبیه حضرت یوسف اومدی همه دستامونو بریدیم	0	0	0	clean
ماشین نمیخریم	0	0	0	clean
نیاز به اینه که نماینده ی هر شهر رو زیر فشار ببرن که تو مجلس بشه مقابله کرد	0	0	0	clean
هر چقدر هم معترض باشیم با اشوب و نا امنی و تخریب موافق نیستیم	0	0	0	clean
چه عجب سکوت رو شکستید	0	0	0	clean
این داره عقده بچگیشو خالی میکنه اقای جوان	0	0	0	clean
بی وطن	1	0	0	hate
اقای دایی چرا سکوت کردی دختر شهرتو کشتن	0	0	0	clean
تو یک ماه هزار تومن 😮	0	0	0	clean
چیجوریی 😮	0	0	0	clean
بهنوش حقیقتش خیلی دوست دارم بکنمت من عربم اومدی خوزستان یه سری بهم بزن باشه	0	0	1	obscene
عجباا 😮	0	0	0	clean
😮	0	0	0	clean
یکی به میخ	0	0	0	clean
همین زدن حرفشم از ی ادم فیمس و سرشناس مثل شما خایه میخاد عموپویان 👏🏻 👏🏻 👏🏻 گنگت بالاس و دمت گرم 💚 🤍 ❤️ ایران ازاد میشه بزودی و هممه ی زندانی های سیاسی مونم برمیگردن ب اغوش خانواده هاشون 🙏	0	0	1	obscene
همیشه غرق خوشبختۍ و سعادتمندیباشین 🌟 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 🎈 💦 بهترینهانصیب دل مهربونتون باشه مهربون 🌷 🌷 🌼 🌼 🌹 🌹	0	1	1	spamobscene
لحاف ملا چه شد؟	0	0	0	clean
چرا سکوت کردی و هیچ حرفی نمیزنی	0	0	0	clean
به جای عذرخواهی از مردم شریف	0	0	0	clean
بمیرم تا نبینم بنام خدای رنگین کمان 😭 😭	0	0	0	clean
پرتغال بختیاری ینی چی 😑 😑	0	0	0	clean
عاشقانه هایم را نثارت میکنم	0	0	0	clean
با گشت ارشاد مشکلات حل نخواهد شد	0	0	0	clean
باشرف 🔥 خیلی خوشحالیم که تورو کنار خودمون تو خوزستان داریم ❤️ مشتی 🔥 کار درست 🔥 خایه دار 🔥 حرفه ای 🔥	0	0	1	obscene
دلم واسه بچه میسوزه تو این سن رسواش کرده 😂 😂 🍑 🍑	0	0	1	obscene
فدات بشم جگرم سوخت این حالتو دیدم خدا به سرش بیاره که مادرتو گرفت قربونت برم نازنینم	0	0	1	obscene
قزاقها بهمون حمله نکنن 😮	0	0	0	clean
 با بابات	0	0	0	clean
ظلم پذیریم نمرده ایم زندگان مرده پرستیم	0	0	0	clean
بنده خدا 😭 😭	0	0	0	clean
خدای من مرده بغلش؟؟ 😮 😮	0	0	0	clean
تجارت خونین را متوقف کنید	0	0	0	clean
سلام دوستان برگشت ببینید صددرصد وطلسمات جنسی دارم تو پیجم سربزنید استوریامو معشوق قطعا نیازهمه میشه 💞 💞 🔥	0	1	1	spamobscene
سلام دوستان برگشت معشوق صددرصد وطلسمات جنسی دارم تو پیجم سربزنید استوریامو ببینید قطعا نیازهمه میشه 🔥 ♥️	0	1	1	spamobscene
ظلم پایدار نمانده است در طول تاریخ	0	0	0	clean
وای چه درامی 😭	0	0	0	clean
سلام بهنوش خانم توبازار مبل تهران بودی روی یکی از همون مبلهای خوشکل وخوب توبغلم بودی ومنم عشق بازی باهات میکردم خیلی دوست دارم تو کوست کیرم باشه 	0	0	1	obscene
خدا حفظشون کنه پدر مادرتو کرد با غیرت زنده باد ایران ایرانی	0	0	1	obscene
چون نوید گفت چشم 😑	0	0	0	clean
خدایا خودت نجاتش بده 😭	0	0	0	clean
معنی حجاب رو هم فهمیدیم 😮 😮	0	0	0	clean
متاسفانه دادخواهی وجود ندارد	0	0	0	clean
چه عجب در اومدی از سکوت	0	0	0	clean
واقعا متاسفیم برای همچین فرهنگی 😢	0	0	0	clean
پستتون عالی وکاربرددی بودد 💦 💦 لطفا از پیج منم ددیددن کنیدد 💦 💦 🙌	0	1	1	spamobscene
سلام عشقا خوبین یه پسر تنهام دنبال یه خانوم یا یه دختر برای رابطه دوستی مجاززی میگردم یه رابطه پنهون اووم بوس رو لباات عشقم یه خانوم که دلش میخواد گوشه گیرش بشم باهم خوش در تا ازز تنهایی تو خونه باشیم بیاد حالش عوض بشه بیاد دایرکت ادم شوخ طبیعم و ادم گرمیم هستم 💜 💜 یکی که تنهاس بیاد دایرکت ازز تنهایی باشیم بیاییم اووم بوس رو گردنت عززیززم 💜 💜 فقط میخوام پنهون باشه و خیالتم راحت باشه عشقم یه خانوم یا یه دختر بیاد دایرکت	0	1	1	spamobscene
واای از این همه رنج وغم 😭 😭	0	0	0	clean
سلام عشقا خوبین یه پسر تنهام دنبال یه خانوم یا یه دختر برای رابطه دوستی مجازی میگردم یه رابطه پنهون اووم بوس رو لباات عشقم یه خانوم که دلش میخواد گوشه گیرش بشم باهم خوش باشیم تا از تنهایی تو خونه در بیاد حالش عوض بشه بیاد دایرکت ادم شوخ طبیعم و ادم گرمیم هستم 😇 😇 یکی که تنهاس بیاد دایرکت از تنهایی در بیاییم اووم بوس رو گردنت عزیزم 😇 😇 فقط میخوام پنهون باشه و خیالتم راحت باشه عشقم یه خانوم بیاد دایرکت	0	1	1	spamobscene
سلام عشقا خوبین یه پسر تنهام دنبال یه خانوم یا یه دختر برای رابطه دوستی مجازی میگردم یه رابطه پنهون اووم بوس رو لباات عشقم یه خانوم که دلش میخواد گوشه گیرش بشم باهم خوش باشیم تا از تنهایی تو خونه در بیاد حالش عوض بشه بیاد دایرکت ادم شوخ طبیعم و ادم گرمیم هستم 😇 😇 یکی که تنهاس بیاد دایرکت از تنهایی در بیاییم اووم بوس رو گردنت عزیزم 😇 😇 فقط میخوام پنهون باشه و خیالتم راحت باشه عشقم یه خانوم یا یه دختر بیاد دایرکت	0	1	1	spamobscene
فایده نداره اصهاف کف بودی دیر بیدار شدی	0	0	0	clean
پیاده روی سکوت فایده نداره	0	0	0	clean
برای شما متاسف هستم	0	0	0	clean
واسه جفتشون گلبم گرفت 💔	0	0	0	clean
دیگه بازنشسته شید بذار جوانهای بیکار بیان	0	0	0	clean
اگه تنهای استوریمو ببین 🤫 🤫	0	0	0	clean
این کی هست اصن 😐	0	0	0	clean
اما کو گوش شنوا 😭 🤕	0	0	0	clean
فوتوشاپ باحالیه	0	0	0	clean
خودت رو لاغر کن 😮 😮	0	0	0	clean
این جا چقد نازی لامصب	0	0	0	clean
چکی خوردی دلم سوخت خداییش 😢 😮	0	0	0	clean
انقدر خرج و هزینه کردید میترسم ورشکست بشید	0	0	0	clean
بازم رل 😮	0	0	0	clean
چه عجب ممنون	0	0	0	clean
 چی شد ازبین اون صداهایی ک اولین بار از ایران موزیک پخش شد و تتلو و تو و چند نفر دیگه بودن توانقدر مرد بار اومدی؟؟ حتی لباس پوشیدن و تیپتم مث اون تتلو و ساسی چاقال نیست شرفت 🙌 ❤️ 😉 حسین رونقی را ازاد کنید توماج صالحی را ازاد کنید	0	0	1	obscene
سلام صبح بخیر	0	0	0	clean
صبح بخیر دادا	0	0	0	clean
پاک کردین؟ 🧐	0	0	0	clean
بگردم من 😔 💔	0	0	0	clean
بژی بوکان 💔 ✌	0	0	0	clean
کمک کنید پیجم داغونه 😔	0	1	0	spam
بمیرم برای مادرم	0	0	0	clean
چ گریم نچرالی 😮	0	0	0	clean
ممنونم از حمایتتون 😢 💔	0	1	0	spam
امید حیف شد 🥺 💔	0	0	0	clean
عزت و ذلت دست خداست 	0	0	0	clean
عالی ولی دکور خوب نبود	0	0	0	clean
